Country,IncomeGroup,CountryCode,Year,GDP,Life_expectancy,population
Moldova,Upper middle income,MDA,2020,4547.059721,72.006,2620495
Monaco,High income,MCO,2020,173688.1894,0,39244
Mongolia,Lower middle income,MNG,2020,4060.950518,70.056,3278292
Montenegro,Upper middle income,MNE,2020,7677.152226,75.93170732,621306
Morocco,Lower middle income,MAR,2020,3058.691689,76.901,36910558
Mozambique,Low income,MOZ,2020,448.5442807,61.387,31255435
Myanmar,Lower middle income,MMR,2020,1467.604281,67.363,54409794
Namibia,Upper middle income,NAM,2020,4179.278066,64.045,2540916
Nauru,High income,NRU,2020,10580.26819,0,10834
Nepal,Lower middle income,NPL,2020,1155.142854,71.067,29136808
Netherlands,High income,NLD,2020,52396.03221,81.4097561,17441500
New Caledonia,High income,NCL,2020,,77.77117073,271960
New Zealand,High income,NZL,2020,41441.46667,82.05609756,5084300
Nicaragua,Lower middle income,NIC,2020,1905.261152,74.697,6624554
Niger,Low income,NER,2020,567.6698923,62.792,24206636
Nigeria,Lower middle income,NGA,2020,2097.092473,55.018,206139587
North Macedonia,Upper middle income,MKD,2020,5917.262575,75.69317073,2072531
Northern Mariana Islands,High income,MNP,2020,,0,57557
Norway,High income,NOR,2020,67329.67779,83.2097561,5379475
Oman,High income,OMN,2020,14485.38612,78.078,5106622
Pakistan,Lower middle income,PAK,2020,1188.859757,67.428,220892331
Palau,High income,PLW,2020,14243.86469,0,18092
Panama,Upper middle income,PAN,2020,12509.83529,78.68,4314768
Papua New Guinea,Lower middle income,PNG,2020,2757.21753,64.725,8947027
Paraguay,Upper middle income,PRY,2020,5001.07276,74.363,7132530
Peru,Upper middle income,PER,2020,6126.87454,76.947,32971846
Philippines,Lower middle income,PHL,2020,3298.829586,71.36,109581085
Poland,High income,POL,2020,15742.45373,76.6,37899070
Portugal,High income,PRT,2020,22194.56611,80.97560976,10297081
Puerto Rico,High income,PRI,2020,31429.86612,80.08746342,3281538
Qatar,High income,QAT,2020,50124.38594,80.363,2881060
Romania,Upper middle income,ROU,2020,12915.24305,74.35365854,19257520
Russian Federation,Upper middle income,RUS,2020,10126.72179,71.33878049,144104080
Rwanda,Low income,RWA,2020,797.8555207,69.329,12952209
Samoa,Lower middle income,WSM,2020,4067.843459,73.45,198410
San Marino,High income,SMR,2020,,0,33938
Sao Tome and Principe,Lower middle income,STP,2020,2157.840446,70.583,219161
Saudi Arabia,High income,SAU,2020,20110.31619,75.28,34813867
Senegal,Lower middle income,SEN,2020,1471.830962,68.213,16743930
Serbia,Upper middle income,SRB,2020,7730.691746,74.22926829,6899126
Seychelles,High income,SYC,2020,10764.42042,77.23658537,98462
Sierra Leone,Low income,SLE,2020,509.376594,55.066,7976985
Singapore,High income,SGP,2020,59797.75218,83.74390244,5685807
Sint Maarten (Dutch part),High income,SXM,2020,,0,42310
Slovak Republic,High income,SVK,2020,19266.51357,76.86585366,5458827
Slovenia,High income,SVN,2020,25489.50023,80.53170732,2102419
Solomon Islands,Lower middle income,SLB,2020,2250.601164,73.132,686878
Somalia,Low income,SOM,2020,438.2551656,57.697,15893219
South Africa,Upper middle income,ZAF,2020,5655.867654,64.379,59308690
South Sudan,Low income,SSD,2020,,58.095,11193729
Spain,High income,ESP,2020,27056.42175,82.33414634,47363419
Sri Lanka,Lower middle income,LKA,2020,3680.673477,77.144,21919000
St. Kitts and Nevis,High income,KNA,2020,18437.74892,0,53192
St. Lucia,Upper middle income,LCA,2020,8804.561048,76.343,183629
St. Martin (French part),High income,MAF,2020,,80.12195122,38659
St. Vincent and the Grenadines,Upper middle income,VCT,2020,7278.016297,72.658,110947
Sudan,Low income,SDN,2020,486.4188163,65.53,43849269
Suriname,Upper middle income,SUR,2020,4916.605666,71.802,586634
Sweden,High income,SWE,2020,52274.40879,82.40731707,10353442
Switzerland,High income,CHE,2020,87100.41482,83.1,8636561
Syrian Arab Republic,Low income,SYR,2020,,73.651,17500657
Tajikistan,Lower middle income,TJK,2020,859.1379611,71.301,9537642
Tanzania,Lower middle income,TZA,2020,1076.469706,65.815,59734213
Thailand,Upper middle income,THA,2020,7186.874092,77.344,69799978
Timor-Leste,Lower middle income,TLS,2020,1442.730738,69.712,1318442
Togo,Low income,TGO,2020,914.9507925,61.34,8278737
Tonga,Upper middle income,TON,2020,4624.823449,71.018,105697
Trinidad and Tobago,High income,TTO,2020,15425.63511,73.628,1399491
Tunisia,Lower middle income,TUN,2020,3521.591948,76.891,11818618
Turkey,Upper middle income,TUR,2020,8536.43332,77.928,84339067
Turkmenistan,Upper middle income,TKM,2020,,68.313,6031187
Turks and Caicos Islands,High income,TCA,2020,23879.92665,0,38718
Tuvalu,Upper middle income,TUV,2020,4143.109753,0,11792
Uganda,Low income,UGA,2020,822.0276815,63.713,45741000
Ukraine,Lower middle income,UKR,2020,3724.938437,71.18512195,44134693
United Arab Emirates,High income,ARE,2020,36284.55524,78.12,9890400
United Kingdom,High income,GBR,2020,41059.16881,80.90243902,67215293
United States,High income,USA,2020,63206.52108,77.28048781,331501080
Uruguay,High income,URY,2020,15438.41167,78.056,3473727
Uzbekistan,Lower middle income,UZB,2020,1750.697113,71.848,34232050
Vanuatu,Lower middle income,VUT,2020,2870.0893,70.623,307150
Vietnam,Lower middle income,VNM,2020,2785.724161,75.493,97338583
Virgin Islands (U.S.),High income,VIR,2020,,79.8195122,106290
West Bank and Gaza,Lower middle income,PSE,2020,3239.731108,74.213,4803269
"Yemen, Rep.",Low income,YEM,2020,,66.181,29825968
Zambia,Lower middle income,ZMB,2020,985.132436,64.194,18383956
Zimbabwe,Lower middle income,ZWE,2020,1214.50982,61.738,14862927
